airline_enc,destination_enc,stops_num,departure_hour,day_of_week,month,day,price
8,5,0,2,5,4,11,459.0
8,5,0,10,5,4,11,484.0
30,5,0,2,5,4,11,535.0
0,5,0,15,5,4,11,559.0
0,5,0,3,5,4,11,662.0
30,5,0,9,5,4,11,713.0
16,5,3,17,5,4,11,4326.0
0,5,0,15,6,4,12,340.0
24,5,0,18,6,4,12,413.0
30,5,0,9,6,4,12,444.0
8,5,0,2,6,4,12,459.0
1,5,1,16,6,4,12,403.0
30,5,0,17,6,4,12,444.0
8,5,0,22,6,4,12,459.0
24,5,0,13,6,4,12,472.0
8,5,0,10,6,4,12,484.0
30,5,0,2,6,4,12,510.0
0,5,0,5,6,4,12,528.0
0,5,0,3,6,4,12,867.0
0,5,0,3,0,4,13,340.0
30,5,0,9,0,4,13,410.0
8,5,0,2,0,4,13,417.0
24,5,0,18,0,4,13,423.0
15,5,0,18,0,4,13,438.0
0,5,0,15,0,4,13,340.0
16,5,2,17,0,4,13,390.0
30,5,0,17,0,4,13,410.0
8,5,0,10,0,4,13,429.0
8,5,0,22,0,4,13,429.0
0,5,0,5,0,4,13,467.0
30,5,0,2,0,4,13,478.0
24,5,3,18,0,4,13,4298.0
0,5,0,5,1,4,14,340.0
0,5,0,15,1,4,14,340.0
0,5,0,3,1,4,14,343.0
15,5,0,18,1,4,14,376.0
30,5,0,17,1,4,14,390.0
24,5,0,18,1,4,14,403.0
24,5,0,15,1,4,14,456.0
8,5,0,2,1,4,14,459.0
8,5,0,22,1,4,14,459.0
30,5,0,2,1,4,14,478.0
30,5,0,9,1,4,14,535.0
8,5,0,10,1,4,14,586.0
0,5,0,5,2,4,15,340.0
30,5,0,19,2,4,15,358.0
15,5,0,18,2,4,15,358.0
8,5,0,22,2,4,15,434.0
0,5,0,3,2,4,15,340.0
30,5,1,11,2,4,15,370.0
24,5,0,13,2,4,15,413.0
24,5,0,18,2,4,15,423.0
8,5,0,2,2,4,15,459.0
8,5,0,10,2,4,15,459.0
30,5,0,2,2,4,15,478.0
30,5,0,9,2,4,15,478.0
24,5,3,18,2,4,15,4625.0
0,5,0,3,3,4,16,338.0
0,5,0,5,3,4,16,338.0
30,5,0,17,3,4,16,358.0
0,5,0,15,3,4,16,338.0
15,5,0,18,3,4,16,358.0
8,5,1,20,3,4,16,404.0
24,5,0,18,3,4,16,443.0
8,5,0,2,3,4,16,454.0
8,5,0,10,3,4,16,454.0
8,5,0,22,3,4,16,454.0
30,5,0,2,3,4,16,478.0
30,5,0,9,3,4,16,478.0
0,5,0,3,4,4,17,340.0
0,5,0,5,4,4,17,340.0
8,5,0,2,4,4,17,417.0
0,5,0,15,4,4,17,340.0
30,5,0,17,4,4,17,370.0
1,5,1,16,4,4,17,403.0
8,5,1,20,4,4,17,404.0
24,5,0,13,4,4,17,413.0
24,5,0,18,4,4,17,413.0
8,5,0,22,4,4,17,429.0
30,5,0,2,4,4,17,444.0
30,5,0,9,4,4,17,444.0
8,5,0,10,4,4,17,454.0
0,5,0,5,5,4,18,344.0
15,5,0,18,5,4,18,376.0
30,5,0,17,5,4,18,390.0
24,5,0,18,5,4,18,426.0
8,5,0,2,5,4,18,459.0
0,5,0,15,5,4,18,340.0
0,5,0,3,5,4,18,354.0
30,5,0,2,5,4,18,444.0
8,5,0,22,5,4,18,459.0
30,5,0,9,5,4,18,478.0
8,5,0,10,5,4,18,586.0
24,5,3,18,5,4,18,4095.0
0,5,0,5,6,4,19,340.0
0,5,0,15,6,4,19,340.0
8,5,0,22,6,4,19,409.0
30,5,0,17,6,4,19,390.0
24,5,0,13,6,4,19,392.0
24,5,0,18,6,4,19,392.0
30,5,0,2,6,4,19,410.0
30,5,0,9,6,4,19,410.0
8,5,0,2,6,4,19,422.0
8,5,0,10,6,4,19,459.0
0,5,0,3,6,4,19,513.0
0,5,0,5,0,4,20,340.0
30,5,0,17,0,4,20,358.0
15,5,0,18,0,4,20,358.0
24,5,0,18,0,4,20,392.0
8,5,0,2,0,4,20,404.0
0,5,0,3,0,4,20,340.0
0,5,0,15,0,4,20,340.0
30,5,0,2,0,4,20,410.0
8,5,0,10,0,4,20,417.0
8,5,0,22,0,4,20,417.0
30,5,0,9,0,4,20,444.0
24,5,3,18,0,4,20,4298.0
0,5,0,3,1,4,21,340.0
0,5,0,5,1,4,21,340.0
8,5,0,2,1,4,21,409.0
0,5,0,15,1,4,21,340.0
1,5,1,17,1,4,21,386.0
24,5,0,18,1,4,21,403.0
30,5,0,2,1,4,21,410.0
30,5,0,17,1,4,21,410.0
8,5,0,10,1,4,21,422.0
8,5,0,22,1,4,21,422.0
24,5,0,15,1,4,21,423.0
30,5,0,9,1,4,21,444.0
0,5,0,3,2,4,22,340.0
15,5,0,18,2,4,22,358.0
